"Name","Pin","Function","Power, Clock, Debug, System","GPT","SCI","CANFD","SPI","GPT_OPS","IRQ","BUS","SDRAM","ADC1(Digital)","ULPT","GPT_POEGB","SDHI","GPT_POEGD","ADC0(Digital)","GPT_POEGA","ESWM_GMII/MII","ESWM_RGMII","CMPOUT","ESC","ESWM_RMII","USB FS","ADC(Digital)","GPT_POEGC","AGT","CLKOUT","JTAG/SWD","ETHPHYCLK","CAC","DSMIF","RTC","OSPI","IIC","ADC","I3C","ACMPHS","DAC","Symbolic Name","Drive Capacity","IRQ","Mode","Output type","Pull up","Port Capabilities","Pin Function Comment","Direction","Remarks","Pin Number Comment",
"P114","B3","SPI0_SSLA0","","GTIOC2B","DE0/CTS_RTS0","","SSLA0","","IRQ30-DS","D5","DQ5","","","","SD0DAT6","","","","","","","","","","ADSYNC","GTETRGC","","","","","","","","","","","","","","","M","None","Peripheral mode","","","ADC(Digital): ADSYNC
BUS: D5
GPT2: GTIOC2B
GPT_POEGC: GTETRGC
IRQ: IRQ30-DS
SCI0: CTS_RTS0
SCI0: DE0
SDHI0: SD0DAT6
SDRAM: DQ5
SPI0: SSLA0","","IO","","",
"P115","A3","SPI0_MOSI0","","GTIOC5A","CTS0","","MOSI0","","IRQ31-DS","D6","DQ6","","","","SD0DAT7","GTETRGD","AD0FLAG1","","","","","","","","","","","","","","","","","","","","","","","","M","None","Peripheral mode","","","ADC0(Digital): AD0FLAG1
BUS: D6
GPT5: GTIOC5A
GPT_POEGD: GTETRGD
IRQ: IRQ31-DS
SCI0: CTS0
SDHI0: SD0DAT7
SDRAM: DQ6
SPI0: MOSI0","","IO","","",
"P200","C5","","","","","","","","NMI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Disabled","","","IRQ: NMI","","None","","",
"P201","E6","CGC_MD","MD","","","","","","IRQ4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","L","None","Peripheral mode","","","CGC: MD
IRQ: IRQ4","","IO","","",
"P202","U2","GPT5_GTIOC5B","","GTIOC5B","DE4/CTS_RTS4","CRX0","MOSI0","","IRQ3-DS","","","","ULPTOB1","","SD1CMD","","","","","","","","","USB_EXICEN","","","","","","","","","","","","","","","","","L","None","Peripheral mode","","","CANFD0: CRX0
GPT5: GTIOC5B
IRQ: IRQ3-DS
SCI4: CTS_RTS4
SCI4: DE4
SDHI1: SD1CMD
SPI0: MOSI0
ULPT1: ULPTOB1
USB FS: USB_EXICEN","","IO","","",
"P203","T2","GPT5_GTIOC5A","","GTIOC5A","RXD4","CTX0","RSPCK0","","IRQ2-DS","","","","ULPTOA1","","SD1CLK","","","","","","","","","USB_VBUSEN","","","","","","","","","","","","","","","","","L","None","Peripheral mode","","","CANFD0: CTX0
GPT5: GTIOC5A
IRQ: IRQ2-DS
SCI4: RXD4
SDHI1: SD1CLK
SPI0: RSPCK0
ULPT1: ULPTOA1
USB FS: USB_VBUSEN","","IO","","",
"P204","U1","GPT4_GTIOC4B","","GTIOC4B","DE4/SCK4","","SSLA0","GTIW","IRQ26","","","","","","SD1WP","","","","","","","","","USB_OVRCURB","","","AGTIO1","","","","CACREF","","","","SDA1","","","","","","L","None","Peripheral mode","","","AGT1: AGTIO1
CAC: CACREF
GPT4: GTIOC4B
GPT_OPS: GTIW
IIC1: SDA1
IRQ: IRQ26
SCI4: DE4
SCI4: SCK4
SDHI1: SD1WP
SPI0: SSLA0
USB FS: USB_OVRCURB","","IO","","",
"P205","T1","GPT4_GTIOC4A","","GTIOC4A","TXD4","","SSLA1","GTIV","IRQ1-DS","","","","","","SD1CD","","","","","","","","","USB_OVRCURA","","","AGTO1","CLKOUT","","","","","","","SCL1","","","","","","L","None","Peripheral mode","","","AGT1: AGTO1
CLKOUT: CLKOUT
GPT4: GTIOC4A
GPT_OPS: GTIV
IIC1: SCL1
IRQ: IRQ1-DS
SCI4: TXD4
SDHI1: SD1CD
SPI0: SSLA1
USB FS: USB_OVRCURA","","IO","","",
"P206","B15","ESWM_GMII/MII1_ET1_RX_DV","","GTCPPO0","","","","GTIU","IRQ0-DS","CS7","","","ULPTOB1","","SD0DAT7","","","","ET1_RX_DV","RGMII1_RX_CTL","","CAT1_RX_DV","RMII1_CRS_DV","USB_VBUSEN","","","","CLKOUT","","","","","","","","","","","","","L","None","Peripheral mode","","","BUS: CS7
CLKOUT: CLKOUT
ESC1: CAT1_RX_DV
ESWM_GMII/MII1: ET1_RX_DV
ESWM_RGMII1: RGMII1_RX_CTL
ESWM_RMII1: RMII1_CRS_DV
GPT0: GTCPPO0
GPT_OPS: GTIU
IRQ: IRQ0-DS
SDHI0: SD0DAT7
ULPT1: ULPTOB1
USB FS: USB_VBUSEN","","I","","",
"P207","A17","GPIO","","GTCPPO3","","","","","IRQ25","","","","","","","","","","ET1_RXD5","","","","","","","","","","","","","","","","","","","","","","L","","Output mode (Initial Low)","","","ESWM_GMII/MII1: ET1_RXD5
GPT3: GTCPPO3
IRQ: IRQ25","","IO","","",
